,precision,recall,f1-score,support
airplane,0.5835390946502058,0.709,0.6401805869074492,1000.0
automobile,0.6531339031339032,0.917,0.7628951747088186,1000.0
bird,0.6205420827389444,0.435,0.5114638447971781,1000.0
cat,0.6698113207547169,0.426,0.5207823960880196,1000.0
deer,0.687392055267703,0.398,0.5041165294490184,1000.0
dog,0.5186885245901639,0.791,0.6265346534653465,1000.0
frog,0.8797101449275362,0.607,0.7183431952662722,1000.0
horse,0.49454545454545457,0.816,0.6158490566037735,1000.0
ship,0.7724867724867724,0.584,0.6651480637813212,1000.0
truck,0.8092417061611374,0.683,0.7407809110629068,1000.0
accuracy,0.6366,0.6366,0.6366,0.6366
macro avg,0.6689091059256538,0.6365999999999999,0.6306094412130104,10000.0
weighted avg,0.6689091059256539,0.6366,0.6306094412130103,10000.0
