,Pred_0,Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8,Pred_9
True_0,0.709,0.063,0.037,0.003,0.009,0.006,0.002,0.044,0.089,0.038
True_1,0.024,0.917,0.001,0.001,0.0,0.004,0.0,0.017,0.002,0.034
True_2,0.121,0.006,0.435,0.026,0.075,0.163,0.039,0.124,0.009,0.002
True_3,0.048,0.015,0.045,0.426,0.025,0.267,0.03,0.11,0.026,0.008
True_4,0.038,0.01,0.054,0.041,0.398,0.095,0.007,0.341,0.016,0.0
True_5,0.02,0.003,0.025,0.07,0.008,0.791,0.002,0.076,0.003,0.002
True_6,0.036,0.029,0.06,0.045,0.049,0.088,0.607,0.067,0.016,0.003
True_7,0.024,0.007,0.01,0.021,0.01,0.103,0.002,0.816,0.001,0.006
True_8,0.172,0.114,0.027,0.002,0.005,0.005,0.001,0.022,0.584,0.068
True_9,0.023,0.24,0.007,0.001,0.0,0.003,0.0,0.033,0.01,0.683
